transaction_id,customer_id,merchant_id,amount,timestamp,device_id,ip_address,payment_method,location,transaction_frequency,customer_age_days,previous_transaction_count,previous_fraud_count,is_new_device,is_new_ip,is_fraud
txn_000000,CUST-1042,M-008,17863,2026-08-21T00:00:00,DEV-015,IP-001,PI-029,Mumbai,12,134,70,1,True,True,True
txn_000001,CUST-1043,M-014,18509,2026-08-21T00:11:00,DEV-77A,IP-103.24,PI-005,Mumbai,2,253,30,1,False,False,True
txn_000002,CUST-1044,M-007,18449,2026-08-21T00:22:00,DEV-77A,IP-103.24,PI-084,Bengaluru,9,459,29,4,False,False,True
txn_000003,CUST-1045,M-001,17869,2026-08-21T00:33:00,DEV-076,IP-103.24,PI-021,Bengaluru,7,378,36,2,True,False,True
txn_000004,CUST-1046,M-004,17989,2026-08-21T00:44:00,DEV-77A,IP-007,PI-012,Delhi,2,397,45,3,False,True,True
txn_000005,CUST-1047,M-015,17388,2026-08-21T00:55:00,DEV-77A,IP-103.24,PI-069,Mumbai,7,110,71,3,False,False,True
txn_000006,CUST-1048,M-019,18040,2026-08-21T01:06:00,DEV-080,IP-103.24,PI-025,Bengaluru,2,76,30,3,True,False,True
txn_000007,CUST-1049,M-008,17463,2026-08-21T01:17:00,DEV-77A,IP-103.24,PI-013,Delhi,5,494,47,2,False,False,True
txn_000008,CUST-1050,M-007,18027,2026-08-21T01:28:00,DEV-77A,IP-012,PI-086,Delhi,12,729,10,2,False,True,True
txn_000009,CUST-1051,M-006,17801,2026-08-21T01:39:00,DEV-069,IP-103.24,PI-060,Delhi,5,685,72,2,True,False,True
txn_000010,CUST-1052,M-002,17964,2026-08-21T01:50:00,DEV-77A,IP-103.24,PI-030,Mumbai,13,353,52,3,False,False,True
txn_000011,CUST-1053,M-007,17435,2026-08-21T02:01:00,DEV-77A,IP-103.24,PI-073,Bengaluru,6,247,64,4,False,False,True
txn_000012,CUST-1054,M-005,17842,2026-08-21T02:12:00,DEV-059,IP-005,PI-032,Bengaluru,9,581,34,4,True,True,True
txn_000013,CUST-1055,M-013,18495,2026-08-21T02:23:00,DEV-77A,IP-103.24,PI-047,Mumbai,3,551,64,1,False,False,True
txn_000014,CUST-1056,M-004,17396,2026-08-21T02:34:00,DEV-77A,IP-103.24,PI-020,Bengaluru,3,841,55,1,False,False,True
txn_000015,CUST-1057,M-020,18081,2026-08-21T02:45:00,DEV-050,IP-103.24,PI-060,Bengaluru,5,596,2,1,True,False,True
txn_000016,CUST-1058,M-009,18399,2026-08-21T02:56:00,DEV-77A,IP-022,PI-083,Delhi,2,330,56,2,False,True,True
txn_000017,CUST-1059,M-001,18229,2026-08-21T03:07:00,DEV-77A,IP-103.24,PI-034,Bengaluru,13,212,65,1,False,False,True
txn_000018,CUST-1060,M-017,18608,2026-08-21T03:18:00,DEV-039,IP-103.24,PI-078,Mumbai,3,412,21,1,True,False,True
txn_000019,CUST-1061,M-011,18526,2026-08-21T03:29:00,DEV-77A,IP-103.24,PI-063,Mumbai,2,401,40,2,False,False,True
txn_000020,CUST-1062,M-019,17793,2026-08-21T03:40:00,DEV-77A,IP-002,PI-011,Mumbai,12,527,9,2,False,True,True
txn_000021,CUST-1063,M-016,18651,2026-08-21T03:51:00,DEV-017,IP-103.24,PI-071,Mumbai,5,570,78,4,True,False,True
txn_000022,CUST-1064,M-018,17733,2026-08-21T04:02:00,DEV-77A,IP-103.24,PI-089,Mumbai,12,349,52,3,False,False,True
txn_000023,CUST-1065,M-017,18197,2026-08-21T04:13:00,DEV-77A,IP-103.24,PI-058,Mumbai,4,260,9,3,False,False,True
txn_000024,CUST-1066,M-008,18434,2026-08-21T04:24:00,DEV-003,IP-019,PI-076,Mumbai,1,102,8,2,True,True,True
txn_000025,CUST-1067,M-002,17438,2026-08-21T04:35:00,DEV-77A,IP-103.24,PI-043,Mumbai,9,273,36,4,False,False,True
txn_000026,CUST-1068,M-018,17738,2026-08-21T04:46:00,DEV-77A,IP-103.24,PI-017,Bengaluru,10,620,61,2,False,False,True
txn_000027,CUST-1069,M-007,18133,2026-08-21T04:57:00,DEV-061,IP-103.24,PI-013,Mumbai,11,471,46,4,True,False,True
txn_000028,CUST-1070,M-002,18256,2026-08-21T05:08:00,DEV-77A,IP-014,PI-087,Bengaluru,11,130,8,4,False,True,True
txn_000029,CUST-1071,M-004,17994,2026-08-21T05:19:00,DEV-77A,IP-103.24,PI-032,Mumbai,4,579,58,2,False,False,True
txn_000030,CUST-1072,M-009,17675,2026-08-21T05:30:00,DEV-055,IP-103.24,PI-060,Mumbai,14,107,57,1,True,False,True
txn_000031,CUST-1073,M-018,17403,2026-08-21T05:41:00,DEV-77A,IP-103.24,PI-002,Mumbai,13,899,31,2,False,False,True
txn_000032,CUST-1074,M-016,18294,2026-08-21T05:52:00,DEV-77A,IP-014,PI-028,Delhi,1,198,49,1,False,True,True
txn_000033,CUST-1075,M-015,17843,2026-08-21T06:03:00,DEV-050,IP-103.24,PI-037,Delhi,12,778,72,4,True,False,True
txn_000034,CUST-1076,M-007,17617,2026-08-21T06:14:00,DEV-77A,IP-103.24,PI-038,Mumbai,1,623,70,1,False,False,True
txn_000035,CUST-1077,M-002,17942,2026-08-21T06:25:00,DEV-77A,IP-103.24,PI-007,Bengaluru,8,544,68,2,False,False,True
txn_000036,CUST-1078,M-006,17464,2026-08-21T06:36:00,DEV-008,IP-017,PI-009,Bengaluru,2,721,31,4,True,True,True
txn_000037,CUST-1079,M-019,17545,2026-08-21T06:47:00,DEV-77A,IP-103.24,PI-032,Bengaluru,10,70,80,1,False,False,True
